City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,Boke,GN,75.49,10.9409,-14.2967,Hôtel Rio Nunez - Boké
2,Rikitea,PF,76.69,-23.1203,-134.9692,People ThankYou
4,Galle,LK,76.62,6.0367,80.217,Amangalla
8,Dalby,AU,74.1,-27.1833,151.2667,Kobbers Motor Inn Dalby
9,Port Macquarie,AU,71.89,-31.4333,152.9167,Rydges Port Macquarie
14,Saint-Philippe,RE,76.55,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
16,Ukiah,US,75.13,39.1502,-123.2078,Hampton Inn Ukiah
20,Avarua,CK,82.45,-21.2078,-159.775,Paradise Inn
21,Sao Jose Da Coroa Grande,BR,77.83,-8.8978,-35.1478,Crôa Mares Hotel
27,Faanui,PF,81.36,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
29,Manggar,ID,77.22,-2.8833,108.2667,Guest Hotel
32,Bambous Virieux,MU,78.22,-20.3428,57.7575,Casa Tia Villa
34,Arraial Do Cabo,BR,75.16,-22.9661,-42.0278,Pousada Porto Praia
35,George Town,MY,77.9,5.4112,100.3354,Cititel Penang
36,Baton Rouge,US,73.85,30.4508,-91.1545,Hilton Baton Rouge Capitol Center
44,Charlestown,AU,72.1,-32.95,151.6667,Panorama Motor Inn Hotel
47,Grand Gaube,MU,78.39,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
48,Grand-Santi,GF,73.65,4.25,-54.3833,Hotel La Villa Couacou
49,Vaini,TO,84.36,-21.2,-175.2,Keleti Beach Resort
50,Carnarvon,AU,77.07,-24.8667,113.6333,Hospitality Carnarvon
56,Sao Filipe,CV,75.72,14.8961,-24.4956,Hotel Xaguate
57,Kavieng,PG,83.52,-2.5744,150.7967,Nusa Island Retreat
61,Nortelandia,BR,75.31,-14.4547,-56.8028,Hotel Karysmã
65,Santa Cruz,BO,78.26,-17.8,-63.1667,Aviador Hotel Boutique
70,Souillac,MU,78.37,-20.5167,57.5167,Shanti Maurice Resort & Spa
74,Mildura,AU,73.36,-34.2,142.15,Mercure Hotel Mildura
75,Kapaa,US,79.12,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
82,Lorengau,PG,86.94,-2.0226,147.2712,Lorengau Harbourside Hotel
83,Alice Springs,AU,76.55,-23.7,133.8833,Desert Palms Alice Springs
86,Carutapera,BR,79.21,-1.195,-46.02,Lidera
94,Abulug,PH,72.12,18.4453,121.4533,Amayun Mini-Farm - Cagayan
95,Butaritari,KI,80.65,3.0707,172.7902,Isles Sunset Lodge
99,Payo,ID,73.89,-3.7508,103.6372,Mess keban agung
101,Hobyo,SO,78.42,5.3505,48.5268,Halane Hotel and Restaurent
103,Sumbe,AO,77.32,-11.2061,13.8437,Hotel Ritz Sumbe
106,Berbera,SO,75.65,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
110,Guanica,PR,81.91,17.9716,-66.908,Copamarina Beach Resort & Spa
112,Alofi,NU,80.49,-19.0595,-169.9187,Taloa Heights
120,Hambantota,LK,77.22,6.1241,81.1185,Bungalow 63
123,Sao Joao Da Barra,BR,75.6,-21.6403,-41.0511,Pousada Porto De Canoas
124,Lompoc,US,77.77,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
127,Las Choapas,MX,77.05,17.9333,-94.0833,Hotel Jysmak
130,Totness,SR,76.71,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
131,Saint-Pierre,RE,76.64,-21.3393,55.4781,Lindsey Hôtel
140,Kahului,US,74.84,20.8947,-156.47,Maui Seaside Hotel
144,Santa Maria,BR,78.1,-29.6842,-53.8069,Hotel Morotin
148,Hithadhoo,MV,81.59,-0.6,73.0833,Scoop Guest House
150,Pimenteiras,BR,81.95,-6.2453,-41.4192,Hotel rotativo pimentas
153,Hirara,JP,70.07,24.8,125.2833,Hotel Atoll Emerald Miyakojima
162,Salalah,OM,75.29,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
165,Cabedelo,BR,79.47,-6.9811,-34.8339,Hotel Pigalle
166,Acapulco,MX,84.02,16.8634,-99.8901,HS Hotsson Smart Acapulco
167,Pedasi,PA,81.07,7.5333,-80.0333,Selina Pedasi
169,Yarada,IN,77.32,17.65,83.2667,Vishranti
172,Kattivakkam,IN,80.69,13.2167,80.3167,Euronova Freezer
173,Bengkulu,ID,76.37,-3.8004,102.2655,Grage Hotel Bengkulu
174,Cassilandia,BR,79.14,-19.1133,-51.7342,Delirius Motel
175,Mutoko,ZW,70.25,-17.397,32.2268,Mutoko Hotel
177,Mogadishu,SO,79.05,2.0371,45.3438,Hotel Juba
190,Matara,LK,75.52,5.9485,80.5353,Amaloh Boutique Resort
191,Atuona,PF,78.66,-9.8,-139.0333,Villa Enata
196,Khetia,IN,70.63,21.6667,74.5833,Mastana Hotel
200,Key West,US,78.8,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
207,Denpasar,ID,76.71,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
210,Rancho Palos Verdes,US,74.1,33.7445,-118.387,Terranea Resort
211,Las Vegas,US,77.68,36.175,-115.1372,Plaza Hotel & Casino
217,Hilo,US,74.93,19.7297,-155.09,Hilo Hawaiian Hotel
218,Vila Velha,BR,78.75,-20.3297,-40.2925,Quality Suites Vila Velha
220,Sola,VU,83.07,-13.8833,167.55,Leumerus Bungalows
224,La Romana,DO,84.56,18.4273,-68.9728,Casa de Campo Resort and Villas
225,Mitsamiouli,KM,80.69,-11.3847,43.2844,Foyer ADM
227,Celestun,MX,75.61,20.8667,-90.4,Posada Lilia
229,Palora,EC,73.51,-1.7,-77.9333,Rancho grande
231,Teluk Nibung,ID,75.38,3.001,99.8164,Hotel Assyifa
232,Phalaborwa,ZA,75.24,-23.943,31.1411,Bothabelo Bed and Breakfast
234,Puerto Leguizamo,CO,73.38,-0.1934,-74.7819,la casona de juancho
239,Jaciara,BR,74.62,-15.9653,-54.9683,Taba Hotel
244,Beyla,GN,70.99,8.6833,-8.6333,DIAN SINKO
248,Cayenne,GF,77.09,4.9333,-52.3333,Hôtel Le Dronmi
249,Kuah,MY,76.98,6.3265,99.8432,Azio Hotel
250,Bom Jesus,BR,73.36,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
252,Paka,MY,73.33,4.6374,103.4368,RUMBIA RESORT VILLA
254,Georgetown,MY,77.9,5.4112,100.3354,Cititel Penang
263,Cabo San Lucas,MX,80.51,22.8909,-109.9124,Hotel Tesoro Los Cabos
265,Quatre Cocos,MU,78.1,-20.2078,57.7625,Sunrise Attitude Hotel
273,Port Augusta,AU,77.7,-32.5,137.7667,Majestic Oasis Apartments
276,Axim,GH,80.15,4.8699,-2.2405,Axim Beach Resort And Spa
277,Bonthe,SL,80.38,7.5264,-12.505,Bonthe Holiday Village
280,Geraldton,AU,76.12,-28.7667,114.6,Broadwater Mariner Resort
281,Kavaratti,IN,80.8,10.5669,72.642,Hotels in Lakshadweep Islands
283,Conceicao Do Araguaia,BR,74.89,-8.2578,-49.2647,Tarumã Tropical Hotel
284,Soc Trang,VN,71.56,9.6033,105.98,Phu Quy Hotel
285,Flinders,AU,72.05,-34.5833,150.8552,Shellharbour Resort & Conference Centre
289,Tual,ID,82.17,-5.6667,132.75,Grand Vilia Hotel
293,Vanimo,PG,86.41,-2.6741,141.3028,Vahmoneh Lodge Vanimo
298,Pontes E Lacerda,BR,74.68,-15.2261,-59.3353,Hotel Bressan
299,Bacungan,PH,79.68,9.9106,118.7022,Sumayang Property
300,Antalaha,MG,73.47,-14.9003,50.2788,Hotel Vitasoa
302,Mahebourg,MU,78.26,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
303,Kieta,PG,84.61,-6.2167,155.6333,Uruna Bay Retreat
307,Laguna De Perlas,NI,82.49,12.3429,-83.6712,Hotel Best View
308,Sibolga,ID,75.97,1.7427,98.7792,Hotel Syariah CN Darussalam
310,Dunmore Town,BS,77.9,25.5,-76.65,Coral Sands Hotel
312,Coron,PH,80.38,11.9986,120.2043,Coron Westown Resort
317,Imbituba,BR,73.81,-28.24,-48.6703,Praia Hotel Imbituba
321,Bandarbeyla,SO,75.42,9.4942,50.8122,JABIR HOTEL
326,Kikwit,CD,70.45,-5.041,18.8162,HOTEL PLACE YALABA
329,Waingapu,ID,80.46,-9.6567,120.2641,Pondok Wisata Elim
331,Lamu,KE,80.82,-2.2717,40.902,Lamu House
332,Ancud,CL,71.13,-41.8697,-73.8203,Hotel Arena Gruesa
334,Omboue,GA,76.28,-1.5746,9.2618,Hotel Olako
335,Takoradi,GH,80.19,4.8845,-1.7554,Raybow International Hotel
