City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Barrow,71.2906,-156.7887,12.22,79,90,21.85,US,2021-12-05 23:34:24
1,Boke,10.9409,-14.2967,75.49,85,96,2.89,GN,2021-12-05 23:34:24
2,Rikitea,-23.1203,-134.9692,76.69,73,98,9.4,PF,2021-12-05 23:32:19
3,Nikolskoye,59.7035,30.7861,-1.61,97,8,4.54,RU,2021-12-05 23:34:25
4,Galle,6.0367,80.217,76.62,86,50,4.43,LK,2021-12-05 23:34:25
5,Bredasdorp,-34.5322,20.0403,59.29,96,100,8.48,ZA,2021-12-05 23:29:33
6,Port Alfred,-33.5906,26.891,68.22,92,100,10.11,ZA,2021-12-05 23:32:30
7,Busselton,-33.65,115.3333,61.09,63,62,17.65,AU,2021-12-05 23:34:27
8,Dalby,-27.1833,151.2667,74.1,58,57,15.05,AU,2021-12-05 23:34:27
9,Port Macquarie,-31.4333,152.9167,71.89,69,99,6.2,AU,2021-12-05 23:29:35
10,Gusinoye Ozero,51.1144,106.2614,6.39,96,75,1.39,RU,2021-12-05 23:34:28
11,Vierzon,47.2101,2.0625,42.35,84,100,12.93,FR,2021-12-05 23:34:28
12,Prince George,53.9166,-122.753,19.26,79,1,2.3,CA,2021-12-05 23:34:29
13,Whitehorse,60.7161,-135.0538,-6.9,76,40,18.01,CA,2021-12-05 23:32:04
14,Saint-Philippe,-21.3585,55.7679,76.55,80,33,9.98,RE,2021-12-05 23:34:29
15,Merrill,45.1805,-89.6835,31.77,90,90,0.0,US,2021-12-05 23:34:29
16,Ukiah,39.1502,-123.2078,75.13,42,1,6.91,US,2021-12-05 23:30:02
17,Mataura,-46.1927,168.8643,55.47,46,92,6.33,NZ,2021-12-05 23:34:30
18,Khatanga,71.9667,102.5,-18.65,99,98,6.96,RU,2021-12-05 23:34:30
19,Airai,-8.9266,125.4092,68.77,77,98,1.19,TL,2021-12-05 23:34:32
20,Avarua,-21.2078,-159.775,82.45,78,20,8.05,CK,2021-12-05 23:34:32
21,Sao Jose Da Coroa Grande,-8.8978,-35.1478,77.83,85,44,9.95,BR,2021-12-05 23:34:32
22,Vanavara,60.34,102.2797,-4.92,99,100,2.89,RU,2021-12-05 23:31:18
23,Tuktoyaktuk,69.4541,-133.0374,-18.4,76,1,8.05,CA,2021-12-05 23:34:33
24,Prince Rupert,54.3161,-130.3201,35.29,78,90,5.75,CA,2021-12-05 23:30:38
25,Yellowknife,62.456,-114.3525,-20.58,85,20,2.3,CA,2021-12-05 23:32:31
26,New Norfolk,-42.7826,147.0587,66.92,41,50,6.96,AU,2021-12-05 23:32:21
27,Faanui,-16.4833,-151.75,81.36,66,52,16.42,PF,2021-12-05 23:34:34
28,Port Hedland,-20.3167,118.5667,96.85,20,93,17.27,AU,2021-12-05 23:34:34
